insurer,source_code,formulary_line,formulary_dose_mg,linked_irc,linked_name_fa,linked_generic,linked_strength,linked_dose_mg,insurer_reference_price
tamin,01842,ALENDRONATE (AS SODIUM) 10 mg TABLET ORAL 10MG TABLET,[10.0],7378259325149342,آلنیت® 35,alendronic acid,35 mg,[35.0],100000
tamin,02406,ALENDRONATE (AS SODIUM) 10 mg TABLET ORAL 10MG TABLET,[10.0],7378259325149342,آلنیت® 35,alendronic acid,35 mg,[35.0],100000
tamin,02405,ALENDRONATE (AS SODIUM) 35 mg TABLET ORAL TABLET,[35.0],5298735276900289,فوزاماکس,alendronic acid,70 mg,[70.0],
tamin,00040,ALPRAZOLAM 0.5 mg TABLET ORAL 0.5MG TABLET,[0.5],1539947884003794,آلپرازولام 1 م گ قرص,alprazolam,1 mg,[1.0],45000
tamin,05519,ARIPIPRAZOLE 10 mg TABLET ORAL TABLET,[10.0],1560252699685586,آریپیپرازول 5,aripiprazole,5 mg,[5.0],40000
tamin,05521,ARIPIPRAZOLE 15 mg TABLET ORAL TABLET,[15.0],1560252699685586,آریپیپرازول 5,aripiprazole,5 mg,[5.0],40000
salamat,01908,BUPROPION HYDROCHLORIDE TABLET ORAL 100 mg,[100.0],2999159706996077,زایپیرون® 75م گ قرص,bupropion,75 mg,[75.0],28000
salamat,02034,CLARITHROMYCIN TABLET ORAL 250 mg,[250.0],9833023113552995,کلاریسین,clarithromycin,500 mg,[500.0],113360
salamat,08613,DASATINIB TABLET ORAL 100 mg,[100.0],4496448223322407,اسپریسل,dasatinib,70 mg,[70.0],2817351
tamin,08997,"DEFERASIROX 500 mg TABLET, FOR SUSPENSION ORAL TABLET",[500.0],5100718222062621,اکسجید,deferasirox,125 mg,[125.0],340000
salamat,51001,ELTROMBOPAG (AS OLAMINE) TABLET ORAL 25 mg,[25.0],7832350150217341,روولید,eltrombopag,50 mg,[50.0],2288780
salamat,08699,EPHEDRINE HYDROCHLORIDE TABLET ORAL 15 mg,[15.0],1346142759243041,افدرین,ephedrine hydrochloride,30 mg,[30.0],2263000
salamat,51989,ERLOTINIB (AS HYDROCHLORIDE) TABLET ORAL 25 mg,[25.0],0000000349175520,تارسوا 100 میلیگرم قرص,erlotinib,100 mg,[100.0],0
tamin,00551,FLUOXETINE (AS HYDROCHLORIDE) 20 mg CAPSULE ORAL 20MG CAPSULE,[20.0],2022549559212413,فلوکستین 10میلی گرم,fluoxetine,10 mg,[10.0],30000
tamin,53064,FLUOXETINE (AS HYDROCHLORIDE) 20 mg TABLET ORAL TABLET,[20.0],2022549559212413,فلوکستین 10میلی گرم,fluoxetine,10 mg,[10.0],30000
salamat,50060,FLUPENTHIXOL (AS DIHYDROCHLORIDE) TABLET ORAL 0.5 mg,[0.5],8752707087038328,دپیکسول,flupentixol,3 mg,[3.0],166
tamin,19418,"GLICLAZIDE 60 mg TABLET, EXTENDED RELEASE ORAL TABLET",[60.0],1479962840555308,گلیزان,gliclazide,30 mg,[30.0],50000
salamat,52509,"IBANDRONIC ACID INJECTION, SOLUTION PARENTERAL 3 mg/1mL 3 mL",[3.0],2095524188435931,بون ویوا,ibandronic acid,150 mg,[150.0],0
salamat,52178,LACOSAMIDE TABLET ORAL 100 mg,[100.0],7307353160804522,ویمپت,lacosamide,50 mg,[50.0],55000
tamin,00751,LEVOTHYROXINE SODIUM 100 ug TABLET ORAL 0.1MG TABLET,[0.1],1200604440396398,ال-تیروکس-هگزال 50 میکروگرمی,levothyroxine sodium,50 ug,[0.05],28000
tamin,09586,LEVOTHYROXINE SODIUM 75 ug TABLET ORAL,[0.075],1200604440396398,ال-تیروکس-هگزال 50 میکروگرمی,levothyroxine sodium,50 ug,[0.05],28000
tamin,07938,LEVOTHYROXINE SODIUM 25 ug TABLET ORAL,[0.025],1200604440396398,ال-تیروکس-هگزال 50 میکروگرمی,levothyroxine sodium,50 ug,[0.05],28000
salamat,52326,LISDEXAMFETAMINE MESILATE CAPSULE ORAL 20 mg,[20.0],1274262853925427,ویاس,lisdexamfetamine dimesylate,70 mg,[70.0],413122
salamat,00766,LISINOPRIL TABLET ORAL 10 mg,[10.0],2955599681436966,لیزینوپریل,lisinopril,5 mg,[5.0],19309
tamin,00772,LORAZEPAM 2 mg TABLET ORAL 2MG TABLET,[2.0],1439504978342442,لورازپام 1م گ قرص,lorazepam,1 mg,[1.0],
salamat,52672,"MESALAZINE TABLET, EXTENDED RELEASE ORAL 1600 mg",[1600.0],1645011617829069,اینتسا,mesalamine,1200 mg,[1200.0],177310
salamat,52053,MIRTAZAPINE TABLET ORAL 15 mg,[15.0],2000663619245903,تازادپ,mirtazapine,45 mg,[45.0],24000
salamat,06461,NICORANDIL TABLET ORAL 10 mg,[10.0],0000000479399233,قرص نیکوراندیل 20 میلی گرم,nicorandil,20 mg,[20.0],47000
salamat,52728,OLAPARIB CAPSULE ORAL 50 mg,[50.0],9322807682484771,لینپارزا,olaparib,150 mg,[150.0],8400000
salamat,51526,"OXYCODONE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 10 mg",[10.0],1486535588297190,فاروکسی,oxycodone hydrochloride,40 mg,[40.0],62020
salamat,10635,OXYCODONE HYDROCHLORIDE TABLET ORAL 30 mg,[30.0],1344066130962500,اکسی کدون,oxycodone hydrochloride,5 mg,[5.0],18164
salamat,52723,PALBOCICLIB CAPSULE ORAL 125 mg,[125.0],1111194385235792,پادنزا,palbociclib,75 mg,[75.0],2684622
salamat,02333,"PANTOPRAZOLE CAPSULE, DELAYED RELEASE ORAL 20 mg",[20.0],2345408253770341,پنتوکیم,pantoprazole,40 mg,[40.0],42000
salamat,23027,PAROXETINE (AS HYDROCHLORIDE) TABLET ORAL 20 mg,[20.0],1751209287555386,لوکسیم,paroxetine,40 mg,[40.0],29173
salamat,50227,MIVACURIUM CHLORIDE INJECTION PARENTERAL 2 mg/1mL,[2.0],0000000639028050,پوتابا گلینوود 500 میلی گرم,potaba,500 mg,[500.0],
tamin,07066,PROPRANOLOL HYDROCHLORIDE 20 mg TABLET ORAL TABLET,[20.0],3315095860096762,پروپرانولول 10,propranolol hydrochloride,10 mg,[10.0],22000
tamin,01068,PROPRANOLOL HYDROCHLORIDE 40 mg TABLET ORAL TABLET,[40.0],3315095860096762,پروپرانولول 10,propranolol hydrochloride,10 mg,[10.0],22000
salamat,02003,ROPINIROLE (AS HYDROCHLORIDE) TABLET ORAL 0.25 mg,[0.25],1491190428653478,روپینیرول 5,ropinirole,5 mg,[5.0],0
salamat,50467,SAPROPTERIN DIHYDROCHLORIDE TABLET ORAL 50 mg,[50.0],4674916650385410,دیترین,sapropterin dihydrochloride,100 mg,[100.0],0
salamat,07558,SOLIFENACIN SUCCINATE TABLET ORAL 10 mg,[10.0],1958547264871002,وزیکر,solifenacin succinate,5 mg,[5.0],42466
tamin,01163,SOTALOL HYDROCHLORIDE 40 mg TABLET ORAL 40MG TABLET,[40.0],1168241002091075,سوتاکیم,sotalol hydrochloride,80 mg,[80.0],
salamat,02004,SUMATRIPTAN (AS SUCCINATE) TABLET ORAL 100 mg,[100.0],1613175618866243,سوماتریپتان,sumatriptan,50 mg,[50.0],71013
tamin,02083,TACROLIMUS 1 mg CAPSULE ORAL 1MG CAPSULE,[1.0],1087862272482624,پروگرف,tacrolimus,5 mg,[5.0],260000
tamin,05878,PROGRAF® 1MG CAP,[1.0],1270834976235874,ساپروتاک,tacrolimus,5 mg,[5.0],20000
tamin,07397,PROGRAF® 0.5MG CAP,[0.5],1270834976235874,ساپروتاک,tacrolimus,5 mg,[5.0],20000
tamin,52332,"TACROLIMUS 1 mg CAPSULE, EXTENDED RELEASE ORAL CAPSULE",[1.0],3520920146124807,ادواگرف,tacrolimus,0.5 mg,[0.5],340000
tamin,52333,"TACROLIMUS 5 mg CAPSULE, EXTENDED RELEASE ORAL CAPSULE",[5.0],8511422280921237,پروگرف,tacrolimus,0.5 mg,[0.5],1610000
tamin,05804,TACROLIMUS 0.5 mg CAPSULE ORAL CAPSULE,[0.5],5985701579988599,پروگرف,tacrolimus,1 mg,[1.0],260000
salamat,01893,TERAZOSIN TABLET ORAL 2 mg,[2.0],1358810941432752,ترازوکیم,terazosin,5 mg,[5.0],26800
salamat,18002,TICAGRELOR TABLET ORAL 60 mg,[60.0],1997486920025694,بریلینتا,ticagrelor,90 mg,[90.0],171902
salamat,50711,TOFACITINIB (AS CITRATE) TABLET ORAL 10 mg,[10.0],1180870761759082,زلجانز,tofacitinib,5 mg,[5.0],250168
salamat,07115,"TOLTERODINE TARTRATE CAPSULE, EXTENDED RELEASE ORAL 2 mg",[2.0],1397491041019902,تروتودین,tolterodine tartrate,4 mg,[4.0],32000
salamat,04579,TOLTERODINE TARTRATE TABLET ORAL 1 mg,[1.0],1675209526267188,تولترودین-الحاوی 2,tolterodine tartrate,2 mg,[2.0],20000
salamat,09161,VALACYCLOVIR TABLET ORAL 1000 mg,[1000.0],8222928744900708,والبایوویر,valacyclovir,500 mg,[500.0],119954
salamat,17947,ZALEPLON CAPSULE ORAL 10 mg,[10.0],2740210177831214,سداپلون,zaleplon,5 mg,[5.0],12144
salamat,20387,ZOLMITRIPTAN TABLET ORAL 2.5 mg,[2.5],0294301889544443,زولمی تریپتان - حکیم 5,zolmitriptan,5 mg,[5.0],0
salamat,07253,ZOLPIDEM TABLET ORAL 10 mg,[10.0],1277769682038367,زولپیدم,zolpidem tartrate,5 mg,[5.0],12325
salamat,07854,ZONISAMIDE CAPSULE ORAL 100 mg,[100.0],1155155193315128,زونیتد,zonisamide,50 mg,[50.0],0
