insurer,code,molecule,name
salamat,50837,,"C1-ESTRASE INHIBITOR INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]"
salamat,01483,,DROPERIDOL  COMPOUND
salamat,01519,,GASEOUS  GANGRENE  ANTITOXIN
salamat,02380,,GELATIN  MODIFIED
salamat,66669,,حق فني (غير بيمه اي)بخش دولتي در راستاي  آگاهي رساني  و يكسان سازي
salamat,1,,نام ژنريک
salamat,51622,albuterol,SALBUTAMOL (AS SULFATE) INHALANT RESPIRATORY 5 mg/1mL
salamat,06120,alemtuzumab,"ALEMTUZUMAB INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 30 mg/1mL"
salamat,52495,alteplase,"ALTEPLASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 20 mg"
salamat,51181,bupivacaine,BUPIVACAINE / EPINEPHRINE INJECTION PARENTERAL 5 mg/5 ug/1mL
salamat,53105,buprenorphine,"BUPRENORPHINE INJECTION, SUSPENSION, EXTENDED RELEASE SUBCUTANEOUS 200 mg/1mL 0.5 mL"
salamat,53106,buprenorphine,"BUPRENORPHINE INJECTION, SUSPENSION, EXTENDED RELEASE SUBCUTANEOUS 200 mg/1mL 1.5 mL"
salamat,00281,cholecalciferol,VITAMIN  D3 (COLECALCIFEROL)
salamat,00282,cholecalciferol,VITAMIN  D3 (COLECALCIFEROL)
salamat,01302,cholecalciferol,VITAMIN  D3 (COLECALCIFEROL)
salamat,52348,cisplatin,"CISPLATIN INJECTION, POWDER, FOR SOLUTION INTRAVENOUS 50 mg"
salamat,51367,cytarabine,"CYTARABINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg"
salamat,02263,dalteparin sodium,DALTEPARIN SODIUM   (FRAGMIN)
salamat,00404,dextran,DEXTRAN  7D  6%  NCL 0.9%
salamat,04859,dextrose,DEXTROSE  3.33%  NACL  0.3%
salamat,02124,dextrose,DEXTROSE  5%  NACL  0.45%
salamat,04862,dextrose,DEXTROSE  5%  NACL  0.9%
salamat,07814,erythropoietin,ERYTHROPOIETIN  (EPOETIN)
salamat,02545,fentanyl,FENTANYL PATCH TOPICAL 100 ug/1h
salamat,02546,fentanyl,FENTANYL PATCH TOPICAL 75 ug/1h
salamat,82271,ferrous sulfate,FERROUS  SULFATE  7H2O
salamat,53265,fluticasone propionate,FLUTICASONE PROPIONATE INHALANT RESPIRATORY 2 mg/2mL 2.5 mL
salamat,08815,formoterol,FORMOTEROL FUMARATE INHALANT RESPIRATORY 9 ug/1{Puff}
salamat,60040,gentian violet,GENTIAN  VIOLET   (LOCAL)
salamat,60090,hydrogen peroxide,HYDROGEN PEROXIDE  (12 VOL)
salamat,53034,isotretinoin,"ISOTRETINOIN CAPSULE, LIQUID FILLED ORAL 30 mg"
salamat,53035,isotretinoin,"ISOTRETINOIN CAPSULE, LIQUID FILLED ORAL 40 mg"
salamat,51390,isotretinoin,"ISOTRETINOIN CAPSULE, LIQUID FILLED ORAL 8 mg"
salamat,51482,levodopa,LEVODOPA / CARBIDOPA / ENTACAPONE TABLET ORAL 125 mg/31.25 mg/200 mg
salamat,00754,lidocaine,LIDOCAINE  HCL + DEXTROSE
salamat,51420,linezolid,"LINEZOLID POWDER, FOR SUSPENSION ORAL 100 mg/5mL"
salamat,13003,lopinavir,"LOPINAVIR / RITONAVIR CAPSULE, LIQUID FILLED ORAL 133.3 mg/33.3 mg"
salamat,51507,lopinavir,LOPINAVIR / RITONAVIR TABLET ORAL 80 mg/20 mg
salamat,14233,losartan,LOSARTAN + HYDROCHLORTHIAZIDE
salamat,51654,methylphenidate,"METHYLPHENIDATE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 30 mg"
salamat,51818,mitomycin,"MITOMYCIN INJECTION, POWDER, FOR SOLUTION INTRACAVITARY 40 mg"
salamat,50275,mometasone furoate,MOMETASONE FUROATE INHALANT RESPIRATORY 200 ug/1{Puff} 30 {dose}
salamat,21446,mometasone furoate,MOMETASONE FUROATE INHALANT RESPIRATORY 200 ug/1{Puff} 60 {dose}
salamat,21447,mometasone furoate,MOMETASONE FUROATE INHALANT RESPIRATORY 400 ug/1{Puff} 30 {dose}
salamat,21448,mometasone furoate,MOMETASONE FUROATE INHALANT RESPIRATORY 400 ug/1{Puff} 60 {dose}
salamat,51770,mometasone furoate,MOMETASONE FUROATE POWDER RESPIRATORY 400 ug
salamat,18947,omalizumab,"OMALIZUMAB INJECTION, POWDER, FOR SOLUTION PARENTERAL 75 mg"
salamat,51527,oxycodone,"OXYCODONE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 80 mg"
salamat,52503,pamidronate disodium,"PAMIDRONATE DISODIUM INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 30 mg"
salamat,01074,protirelin,PROTIRELIN  (TRH)
salamat,01102,rifampin,RIFAMPIN  (REFAMPICIN)
salamat,01902,rivastigmine,RIVASTIGMINE (EXELON)
salamat,01903,rivastigmine,RIVASTIGMINE (EXELON)
salamat,01904,rivastigmine,RIVASTIGMINE (EXELON)
salamat,01931,rivastigmine,RIVASTIGMINE (EXELON)
salamat,05267,sodium chloride,SODIUM  CHLORIDE  (1/2 NORMAL SALINE)
salamat,05268,sodium chloride,SODIUM  CHLORIDE  (1/2 NORMAL SALINE)
salamat,01185,sulfur,SULFUR  (PRECIPITATED)
salamat,52019,thiotepa,"THIOTEPA INJECTION, POWDER, FOR SOLUTION PARENTERAL 15 mg"
salamat,51755,trientine,TRIENTINE DIHYDROCHLORIDE TABLET ORAL 5 mg
salamat,53103,urofollitropin,"UROFOLLITROPIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 150 [iU]"
salamat,53172,vancomycin,"VANCOMYCIN (AS HYDROCHLORIDE) POWDER, FOR SOLUTION ORAL 25 mg/1mL 100 mL"
salamat,01708,vitamin a,VITAMIN  A  (RETINOL)
tamin,00530,ferrous sulfate,FERROUS SULFATE 125MG(25MG iron)/ML ORAL DROP 125MG DROPS
tamin,B1156,sodium polystyrene sulfonate,SODIUM POLYSTYRENE SULFONATE 454 G POW FOR SU SUSPENTION
tamin,01290,vitamin a,VITAMIN A+D ORAL DROP DROPS
